"Ticker","Nome","Negócios","Última (R$)","Variação"
"DOHL4","Döhler","4.100","3,99","+0,00%"
"BPAC5","Banco BTG Pactual","4.000","10,70","+0,94%"
"TPIS3","Triunfo","4.000","4,06","+0,25%"
"CEBR3","CEB","3.900","23,15","+0,87%"
"BALM4","Baumer","3.700","19,92","-5,32%"
"EQPA3","Equatorial Energia Pará","3.200","5,74","+0,35%"
"ENGI4","Energisa","3.000","9,21","+0,33%"
"BEES4","Banestes","2.900","8,12","-1,58%"
"MTSA4","Metisa","2.500","44,00","-0,65%"
"REDE3","Rede Energia","2.400","6,34","-0,78%"
"BPAC3","Banco BTG Pactual","2.300","26,79","-0,11%"
"ENGI3","Energisa","2.200","13,15","-1,20%"
"BIED3","BIED3","2.200","3,21","+0,94%"
"TELB4","Telebras","2.100","8,86","-1,34%"
"MOAR3","Monteiro Aranha","1.800","76,00","-11,63%"
"ISAE3","ISA Energia","1.800","30,98","-0,26%"
"AMAR11","Lojas Marisa","1.800","0,17","-15,00%"
"COCE5","Coelce","1.500","29,15","-2,67%"
"RPMG3","Refinaria de Manguinhos","1.500","2,60","+6,12%"
"EPAR3","Embpar Participações","1.400","4,46","+0,68%"
"GSHP3","General Shopping & Outlets","1.300","2,95","+0,00%"
"UNIP5","Unipar","1.200","72,50","+6,13%"
"EALT3","Electro Aço Altona","1.100","13,29","+8,05%"
"CEDO4","Cedro Têxtil","1.100","12,21","+1,75%"
"BSLI4","Banco de Brasília","1.100","9,18","+0,22%"
"SNSY5","Sansuy","1.100","3,18","+6,00%"
"BGIP4","Banese","900","26,50","+1,11%"
"MNPR3","Minupar","700","39,99","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","700","16,94","+0,24%"
"NORD3","Nordon","700","4,50","-7,79%"
"HAGA4","Haga","700","1,13","+2,73%"
"EKTR4","Elektro","600","44,97","-0,57%"
"FESA3","Ferbasa","600","11,26","-1,31%"
"NEXP3","Brasil Brokers","600","3,39","-5,31%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","600","2,37","+0,00%"
"BAUH4","Excelsior","500","86,96","+0,00%"
"RSUL4","Metalúrgica Riosulense","500","64,80","+0,22%"
"DTCY3","Dtcom","500","2,73","+1,11%"
"BOBR4","Bombril","500","1,38","+0,73%"
"CLSC3","Celesc","400","96,72","-4,02%"
"CEEB3","COELBA","400","36,74","+0,25%"
"ADMF3","REAG TRUST S.A","400","35,02","-49,97%"
"VSTE3","LE LIS BLANC","400","5,21","+0,00%"
"RSID3","Rossi Residencial","400","1,70","+0,00%"
"ENMT3","Energisa MT","300","53,01","-9,38%"
"PEAB3","Participações Aliança da Bahia","300","37,28","+5,01%"
"OFSA3","Ourofino Saúde Animal","300","22,04","+0,00%"
"PINE3","Banco Pine","300","8,44","+2,30%"
"OSXB3","OSX Brasil","300","2,34","-4,10%"
"SOND5","Sondotécnica","200","51,45","-6,42%"
"CGRA3","Grazziotin","200","30,31","+1,03%"
"BALM3","Baumer","200","22,00","+0,05%"
"PTNT3","Pettenati","200","7,65","+2,82%"
"CTSA4","Santanense","200","2,40","-2,04%"
"LUPA11","LUPA11","200","0,11","+0,00%"
"GEPA4","Rio Paranapanema Energia","100","35,02","+0,03%"
"WLMM3","WLM","100","21,25","-7,57%"
"EUCA3","Eucatex","100","21,00","-0,24%"
"MERC4","Mercantil do Brasil Financeira","100","13,40","+0,00%"
"PINE11","Banco Pine","100","12,00","-0,58%"
"RVEE3","REVEE","100","8,00","+0,00%"
"RVEE3","REVEE S.A.","100","8,00","+0,00%"
"EQPA5","Equatorial Energia Pará","100","6,25","+0,00%"
"HETA4","Hercules","100","4,80","-0,21%"
"PPLA11","PPLA","64","0,81","-8,99%"
"BMKS3","Monark","4","449,99","+5,69%"
"STBP3","Santos Brasil","6.936.100","14,42","+0,00%"
"WLMM4","WLM","2.900","20,24","+1,20%"
"PEAB4","Participações Aliança da Bahia","1.000","36,00","+0,61%"
"BDLL4","Bardella","1.000","7,40","+7,25%"
"PLAS3","Plascar","700","4,40","-10,20%"
"BNBR3","Banco do Nordeste","600","103,00","+1,98%"
"BSLI3","Banco de Brasília","600","9,09","-1,73%"
"CBEE3","Ampla Energia","300","10,39","-3,80%"
"CGAS5","Comgás","200","128,00","-0,54%"
"BMEB3","Banco Mercantil do Brasil","200","44,90","-0,22%"
"CGAS3","Comgás","100","124,00","+0,00%"
"BGIP3","Banese","100","31,00","-1,62%"
"CPLE5","Copel","100","13,10","+0,00%"
"MNDL3","Mundial","3.000","18,00","-6,25%"
"GEPA3","Rio Paranapanema Energia","600","35,99","+6,17%"
"CCTY3","RDVC CITY","500","26,94","+0,00%"
"CCTY3","REDVECO PROPERTIES S.A","500","26,94","+0,00%"
"CTKA4","Karsten","300","35,00","+2,94%"
"BIOM11","Biomm","300","3,50","+0,00%"
"CEDO3","Cedro Têxtil","200","15,01","+0,07%"
"BRKM6","Braskem","200","8,50","+6,65%"
"PATI3","Panatlântica","100","46,87","-0,28%"
"PATI4","Panatlântica","100","38,87","+0,00%"
"SNSY3","Sansuy","100","11,90","+8,18%"
"BDLL3","Bardella","100","9,90","+0,00%"
"MAPT4","Cemepe","100","4,05","+0,00%"
"LVTC3","WDC Networks","21.100","3,62","-0,82%"
"TKNO4","Tekno","1.100","175,00","+0,00%"
"ENMT4","Energisa MT","700","56,00","+0,11%"
"PSVM11","PORTO VM","600","6,00","+0,00%"
"COCE3","Coelce","500","35,00","-5,02%"
"IGTI4","Jereissati Participações","400","10,74","+2,38%"
"IGTI4","Iguatemi","400","10,74","+2,38%"
"EQMA3B","Equatorial Maranhão","300","31,00","-6,03%"
"FIEI3","Fica","200","22,20","+0,45%"
"ESTR4","Estrela","200","5,61","-6,50%"
"AHEB3","São Paulo Turismo","100","27,75","-7,59%"
"CTSA3","Santanense","300","2,30","+3,60%"
"MRSA3B","MRS Logística","100","27,80","+0,00%"
"HBTS5","Habitasul","500","30,30","+0,66%"
"CRPG6","Tronox Pigmentos","300","13,60","-2,93%"
"ELET5","Eletrobras","200","78,75","+0,00%"
"FRIO3","Metalfrio","100","209,99","-8,70%"
"RPAD5","Alfa Holdings","2.400","7,72","-2,53%"
"AFLT3","Afluente T","600","7,30","-1,22%"
"CTKA3","Karsten","500","36,00","+2,86%"
"MWET4","Wetzel","200","10,20","+3,66%"
"RNEW11","Renova Energia","500","3,23","+0,00%"
"ESTR3","Estrela","200","5,10","+2,00%"
"BRFS3","BRF","20.861.800","17,95","-5,38%"
"MRFG3","MRFG3","18.099.800","21,12","-4,61%"
"BRSR5","Banrisul","100","15,75","-1,44%"
